Sum of Count	Column Labels							
	<3/1/2025	Mar	Apr	May	Jun	Jul	Aug	Grand Total
Row Labels								
Abdulla Yousuf Fakhro			34	126		8	49	217
ACE Future Kitchen				2				2
ACE FUTURE KITCHEN CO LTD			3	401	172	207	55	838
Al Abraaj Restaurant WLL			31	198	88	188	82	587
Al Ameen Industries LLC			22	55	318	866	198	1459
Al Awani General Enterprises And Companies Representation LLC		18	19	94		78		209
Al Ghunaim Brother Trading And Contracting Company				17				17
Al Hilal			1					1
Al Kaun Trading And Contracting Co W L L				282	106	63	7	458
Al Kazemi International				50	18	95	45	208
Al Khaleej Investment-Live						1		1
Al Madina food industries			20	158	23	20		221
Al Mohamadia Dates			4	68				72
Al Muhanad Electromechanical Co L.L.C			627	1509	618	1324	645	4723
Al Qarar Investment LLC		2	18	215	38	63	16	352
Al Samna Metal Manufacturing And Trading Co L.L.C					6			6
ALMOGHTARRA LAND AGRICULTURAL COMPANY		15	2	24	12		17	70
Aman Lil Afia			2					2
Amd Overseas Impex India PVT LTD		3				7		10
ANABEEB SERVICES CO. W.L.L			73	3	19			95
Arabian Consulting Engineering Center		7	62	316				385
Arabian Gulf Mountain Company HCM						54	118	172
Arabic Engineer Control And Electro Mechanical Systems Co LLC					3	15	17	35
Areej Vegetable Oils			2					2
Arkan Advanced Technical Group				184	45			229
Aryastha Life Sciences				1				1
Aryastha Life Sciences(HCM)			18	1284	528	204	9	2043
Asiaf Development Company			206	101	21	104		432
ATYAB AL-KARAM INTERNATIONAL LTD.		6	48	328	171	2		555
Aujan Interiors Decoration LLC				1				1
Autore DMCCO				435	30	221		686
Avital Technical Services				59		38	78	175
BAFCO International Shipping and Logistics Co.				7				7
Binnasar Group Investments LLC		4	17	91	15	3		130
Bulahej Group					1	58	189	248
Burnet Pharmaceuticals Pvt Ltd		7	248	186	165	108	8	722
Caliber Enterprises			54					54
Captain AND Company			4	130	71	155	35	395
Captain AND Company Pakistan							20	20
Champions Food			53	167	144	89	23	476
Chips Store		5	162	537	106	164	39	1013
Conversion Electromechanical Company LLC			28	4	222			254
Creations Overseas		17	48	239	87	394	267	1052
CreativeLand PVT LTD				10				10
Crystal Food Oil		12	147	146	116	55	7	483
CustomizationAndTraining					16			16
Dallah Holding		1						1
Dar exchange		1	63	29	1	9	8	111
Demo			29	100	60	51	47	287
Demo 2			22	15	60	31	19	147
Dhafir Development And Contracting Llc				90	159			249
Drinks Aroma General Trading LLC				2				2
Eastern Exchange			38	10	27	3	2	80
Eco Facility Management				7		12		19
Emirates Technology Castings?FZE					2			2
EMK STEEL CONSTRUCTIONS CONTRACTING CO. L.L.C			4		2	14	2	22
Energy Electricals			34			1		35
Ergonomic Care People Of Determination Llc		2	12	46		7	14	81
Esskay BRPL(UAT)			178	2910	1736	3010	1261	9095
ETECH						9		9
Etech Electromechanical Works LLC						9		9
Ethpe Contacting llc					151	97		248
EURASIA HEALTHCARE LLP			3	3				6
Excel Industry Co LLC			76	37	31			144
Fanar Al Khaleej -HCM				1	2			3
Feras Sweet						60		60
Ferropan Oilfield Services And Supplies LLC		2	11	26	42	205	15	301
Fine Brothers Investment Ltd.					6	1		7
Fine Brothers Investments Ltd.(HCM)						28	57	85
First International Specialized Vehicles Trading LLC					2		9	11
FRASER SUITES MUSCAT			83	111	190	318	86	788
FUJITEC Saudi Arabia Co.Ltd				13				13
Furniture Makers Co Llc				112	21	2		135
GCC Standard Backup						50	2	52
GELCAPS INDUSTRIES					125	1165	164	1454
General Flow Testing X			16					16
General Womens Union				30				30
General Womens Union HCM				581	4			585
Genlite			2	33	176	235	19	465
GLOBAL BUSINESS SERVICES DMCC			150	70	109	159	80	568
Golden Connections MEP Services		12			55			67
Goyaz Jewellery Private Limited				11	41	684	16	752
GRANTEQ LLC						4	13	17
Green Coast Fertilizer Company Limited					48	84	54	186
Green Motors Sole Proprietorship Llc						22	35	57
Green Oasis						7		7
GREEN SOLUTION PROJECTS DEVELOPMENT LLC				1536	632			2168
Gulf Maritime HCMX Backup					7	70		77
Gulf Pipe Industries LLC		5		75	23	72		175
Gulf rubber industries						16	2	18
GWU				1				1
HCM Demo				5				5
HCM_X Preferences Testing			3					3
Ikhtiar Group		15	206	496	210	190	31	1148
Import					9			9
INNOCHEM INTERNATIONAL LLC		9					5	14
Intech Analytical Instruments			27	614	544	364	45	1594
ISC			6			4	41	51
JIS Infrastructure Private Limited (UAT)		15	29	204	37	47	69	401
Jubail Metal Galvanizing		20	16	63	13	5		117
LAITON CRAFT		3	9	1		1		14
Laxai Lifesciences		5	9					14
Lloyd Research Centre Private Limited			3	66		13	18	100
Lyophilization System India Private Limited			60	780	95			935
Magnesco Electrical Stamping Pvt Ltd-UAT			111	4				115
Maktoom Tradin g And Contracting Hcm				11		1		12
Marah KSA			5					5
Marcap LLC						15	17	32
Marshal Scale Engineering		16	47			126		189
Metito Chemicals							20	20
METRO COMPANY LIMITED		6		31				37
Mohamed Bin Zayed Species Conservation Fund			117		19			136
Moon Kids Furniture Manufacturing LLC		1	27	21	2	8		59
Mtandt Group					2	1		3
Mtandt Groups			663	4441	3191	1856	579	10730
MULTILINE GROUP		1	162	3	4	2		172
Multivac Middle East FZE					20			20
National Exchange				5	17	9	1	32
NBSL ELEVATOR COMPONENTS INDIA PRIVATE LIMITED (CHENNAI)			89	255	331	61	30	766
NEW COFFTEA						15		15
Nia Limited			4	1				5
Oasis Global Terminals Fzc		1	21		7		176	205
Obaid Al Qubaisi Transporting And General Contracting Est				37	48	84		169
Pacific FZE						22		22
Pawan Group		1091	545	1670	564	725	217	4812
Penta Global				30				30
Pentaspace Group			134	413	782	785	670	2784
Pioneer Car Service		7		74			12	93
Qatar Air Distribution Network Qadnet		1	734	649	394	338	165	2281
Ramah General Contracting			14	81	51	288	21	455
Rapido Auto Garage			12					12
RIT Dubai						61	90	151
Royal Excellent Steel And Cement Industries LLC				33	92	20		145
Royal Falcon Security		4	89	1		97	2	193
SAFEEN TOURSIM LLC		6		93	106	30		235
Safin Dream Construction co.			105	260	73	614	54	1106
Sai Baba Ploymers		32	33	9	7	18	8	107
Saleh Al Saleh Co Wll			61	7				68
Saltom Medical Equipment Trading LLC		24	165	325	237	372	162	1285
SBR Investments LLC			97	37	1			135
Seas International Group				1				1
Seven Brother Trading Contracting LLC					117	115	89	321
Sharikah Fanniyah Omaniyah LLC			45	73	26	17		161
Shiv Narayan Jewellers Pvt Ltd		5	432	847	429	400	211	2324
Sj Abed and Sulaimi Catering Group SAOC - HCM				337	145	29		511
SJ Abed General Enterprises Ltd			121	586	151			858
SLON Properties LLC			4	36			3	43
SOLENTIS FZCO		2	39	150	468	110		769
Spansules Pharma Private Limited						2		2
Spark Maintenance And Oil-Fields Services				14	212			226
Spark Maintenance And Oil-Fields Services - Sole Proprietorship L.L.C				25	6			31
Sprint Oil Gas Services		85	656	1450	750	742	446	4129
Stails			36	45				81
SUBATI FLOWERS			9	14	3	44	8	78
Sultan Al Kaabi Catering Establishment				159	89	228	47	523
Sunrise Fisheries co HCM		3		30	28	15	5	81
Swan Turbine Services Pvt Ltd					7	4		11
Tags Company HCM				56				56
Tax Company			8					8
Tecton Engineering And Construction				97	525	225	170	1017
Telangana Foods Suncons					1	1		2
TMTEC Trad. And Technical Services LLC		24	20	2				46
Trucut Co				147	150	334	96	727
Tubestar International FZE			7	248			11	266
UNIVERSAL ISLAMIC MEAT		1	157	321	77	255	27	838
University Of Nizwa Investment Funds LLC			5		15			20
VCARE (Al Nahdi Vehicle Manufacturing)			11	185	51			247
Vengal - Horizon (AD) Investment Ltd		4						4
Vengal - Marketing Comprehensive Company Ltd - 145953				7				7
"VESLA CERTIFIED PREOWNED MOTORS LLC,"		1	167	635	476	355	117	1751
Vidhu Pharma Solution		1						1
Vijaya Diagnostic Centre		15	126	165	7	35	2	350
Vipul Buildcon		36	7	16	13	8		80
Wafes General Trading LLC:			53	46				99
Xemex Pharmaceuticals Pvt Ltd			15	3	31	32	72	153
Zaitoon			1	83	25			109
(blank)								
Grand Total		1553	8196	29775	17529	20142	7566	84761
